origin,target,horizon,model,actual,predicted,mase_scale,ae,se,smape,mase,regime,shock_window,config_hash,shocks_hash
1998-02,1998-03,1,drift,316678,154458.896552,37995.358209,162219.103448,26315037523.6,68.8628314342,4.26944529793,clean,,f1310f570fef,3e176f06087d
1998-02,1998-04,2,drift,422739,155366.793103,37995.358209,267372.206897,71487897020.7,92.4994041181,7.03697029058,clean,,f1310f570fef,3e176f06087d
1998-02,1998-05,3,drift,486250,156274.689655,37995.358209,329975.310345,108883705437,102.712102946,8.68462164589,clean,,f1310f570fef,3e176f06087d
1998-02,1998-06,4,drift,552672,157182.586207,37995.358209,395489.413793,156411876422,111.428290097,10.408887623,clean,,f1310f570fef,3e176f06087d
1998-02,1998-07,5,drift,488675,158090.482759,37995.358209,330584.517241,109286123040,102.227013053,8.70065536488,clean,,f1310f570fef,3e176f06087d
1998-02,1998-08,6,drift,469961,158998.37931,37995.358209,310962.62069,96697751466.2,98.8816228579,8.18422658314,clean,,f1310f570fef,3e176f06087d
1998-03,1998-04,1,drift,422739,318696.986301,38049.0962963,104042.013699,10824740614.5,28.0650024064,2.73441484361,clean,,f1310f570fef,3e176f06087d
1998-03,1998-05,2,drift,486250,320715.972603,38049.0962963,165534.027397,27401514226.4,41.026271991,4.3505376871,clean,,f1310f570fef,3e176f06087d
1998-03,1998-06,3,drift,552672,322734.958904,38049.0962963,229937.041096,52871042867.9,52.532605266,6.04316694687,clean,,f1310f570fef,3e176f06087d
1998-03,1998-07,4,drift,488675,324753.945205,38049.0962963,163921.054795,26870112204.9,40.30371817,4.3081458103,clean,,f1310f570fef,3e176f06087d
1998-03,1998-08,5,drift,469961,326772.931507,38049.0962963,143188.068493,20502822958.8,35.9437606033,3.76324492382,clean,,f1310f570fef,3e176f06087d
1998-03,1998-09,6,drift,427984,328791.917808,38049.0962963,99192.0821918,9839069169.54,26.2143865463,2.60694975301,clean,,f1310f570fef,3e176f06087d
1998-04,1998-05,1,drift,486250,425465.755102,38144.0808824,60784.244898,3694724427.82,13.3340341127,1.59354330978,clean,,f1310f570fef,3e176f06087d
1998-04,1998-06,2,drift,552672,428192.510204,38144.0808824,124479.489796,15495143379.9,25.3815870594,3.26340252318,clean,,f1310f570fef,3e176f06087d
1998-04,1998-07,3,drift,488675,430919.265306,38144.0808824,57755.7346939,3335724890.03,12.5611341595,1.51414671314,clean,,f1310f570fef,3e176f06087d
1998-04,1998-08,4,drift,469961,433646.020408,38144.0808824,36314.9795918,1318777742.76,8.03778163995,0.952047572042,clean,,f1310f570fef,3e176f06087d
1998-04,1998-09,5,drift,427984,436372.77551,38144.0808824,8388.7755102,70371554.5606,1.94104465838,0.219923388273,clean,,f1310f570fef,3e176f06087d
1998-04,1998-10,6,drift,486898,439099.530612,38144.0808824,47798.4693878,2284693675.81,10.3236710267,1.25310318881,clean,,f1310f570fef,3e176f06087d
