month,festival_days,sharad_navratri_days,is_navratri_month,lunar_drift_days
2016-09-01,0,0,0,15.163727512583137
2016-10-01,10,9,1,16.029971796553582
2016-11-01,0,0,0,16.29349222034216
2016-12-01,0,0,0,16.12511544022709
2017-01-01,0,0,0,15.797974488697946
2017-02-01,1,0,0,15.621675059199333
2017-03-01,3,0,1,15.873462128452957
2017-04-01,6,0,1,16.729142155963928
2017-05-01,0,0,0,18.21086139557883
2017-06-01,0,0,0,20.17460107523948
2017-07-01,0,0,0,22.3451231373474
2017-08-01,1,0,0,24.39208204811439
2017-09-01,9,9,1,26.02330653136596
2017-10-01,1,0,0,27.06162484548986
2017-11-01,0,0,0,27.48142569232732
2017-12-01,0,0,0,27.404241078998893
2018-01-01,0,0,0,27.06909864442423
2018-02-01,1,0,0,26.787704481277615
2018-03-01,9,0,1,26.87558663683012
2018-04-01,0,0,0,27.558641649316996
2018-05-01,0,0,0,30.758202993310988
2018-06-01,0,0,0,1.428020746447146
2018-07-01,0,0,0,3.5847600987181067
2018-08-01,1,0,0,5.635885753668845
2018-09-01,0,0,0,7.29744533682242
2018-10-01,9,9,1,8.389414762146771
2018-11-01,1,0,0,8.870506714563817
2018-12-01,0,0,0,8.842055375687778
2019-01-01,0,0,0,8.532362880185246
2019-02-01,0,0,0,8.255827009677887
2019-03-01,1,0,0,8.332768689841032
2019-04-01,9,0,1,8.987276399042457
2019-05-01,0,0,0,10.27682435605675
2019-06-01,0,0,0,12.082870530895889
2019-07-01,0,0,0,14.152979748789221
2019-08-01,1,0,0,16.17575463699177
2019-09-01,2,2,1,17.86700593866408
2019-10-01,8,7,1,19.041392978746444
2019-11-01,0,0,0,19.65003173891455
2019-12-01,0,0,0,19.781630584970117
2020-01-01,0,0,0,19.63771660020575
2020-02-01,1,0,0,19.489477136172354
2020-03-01,7,0,1,19.61453613312915
2020-04-01,2,0,1,20.220778975170106
2020-05-01,0,0,0,21.38426597416401
2020-06-01,0,0,0,23.02635852433741
2020-07-01,0,0,0,24.93650055769831
2020-08-01,1,0,0,26.834296399261802
2020-09-01,0,0,0,28.450766805559397
2020-10-01,9,9,1,29.60314197326079
2020-11-01,1,0,0,0.8403297318145633
2020-12-01,0,0,0,0.9854321232996881
2021-01-01,0,0,0,0.9014512021094561
2021-02-01,0,0,0,0.8541602152399719
2021-03-01,1,0,0,1.0872446135617793
2021-04-01,9,0,1,1.7674136864952743
2021-05-01,0,0,0,2.9501819061115384
2021-06-01,0,0,0,4.563687611371279
2021-07-01,0,0,0,6.416650650091469
2021-08-01,1,0,0,8.243226997554302
2021-09-01,0,0,0,9.781210351269692
2021-10-01,9,9,1,10.854296242352575
2021-11-01,1,0,0,11.42478609830141
2021-12-01,0,0,0,11.6004320923239
2022-01-01,0,0,0,11.596850991714746
2022-02-01,0,0,0,11.670047801919281
2022-03-01,1,0,0,12.04505041334778
2022-04-01,9,0,1,12.861180257983506
2022-05-01,0,0,0,14.14196101296693
2022-06-01,0,0,0,15.789316389709711
2022-07-01,0,0,0,17.60261281998828
2022-08-01,1,0,0,19.32725529698655
2022-09-01,5,5,1,20.72773685399443
2022-10-01,5,4,1,21.66065740212798
2022-11-01,0,0,0,22.117920133285224
2022-12-01,0,0,0,22.22541204234585
2023-01-01,0,0,0,22.20276022190228
2023-02-01,1,0,0,22.30204906221479
2023-03-01,9,0,1,22.744385993573815
2023-04-01,0,0,0,23.665912250522524
2023-05-01,0,0,0,25.080138992983848
2023-06-01,0,0,0,26.86527822446078
2023-07-01,0,0,0,28.786709664855152
2023-08-01,1,0,0,30.558118214365095
2023-09-01,0,0,0,2.2598537765443325
2023-10-01,9,9,1,3.0818673414178193
2023-11-01,1,0,0,3.4269128716550767
2023-12-01,0,0,0,3.4512836998328567
2024-01-01,0,0,0,3.38172358693555
2024-02-01,0,0,0,3.463882918935269
2024-03-01,1,0,0,3.9160340814851224
2024-04-01,9,0,1,4.879605034831911
2024-05-01,0,0,0,6.371364068239927
2024-06-01,0,0,0,8.258703716099262
2024-07-01,0,0,0,10.280892019160092
2024-08-01,1,0,0,12.121035737916827
2024-09-01,0,0,0,13.507245816290379
2024-10-01,10,9,1,14.30314375134185
2024-11-01,0,0,0,14.547336284536868
2024-12-01,0,0,0,14.425766192842275
2025-01-01,0,0,0,14.202947975602001
2025-02-01,1,0,0,14.155227579642087
2025-03-01,2,0,1,14.520180880092084
2025-04-01,7,0,1,15.449085526168346
2025-05-01,0,0,0,16.96100677223876
2025-06-01,0,0,0,18.920144497882575
2025-07-01,0,0,0,21.058102847542614
2025-08-01,1,0,0,23.04491021297872
2025-09-01,9,9,1,24.586206594016403
2025-10-01,1,0,0,25.510648070368916
2025-11-01,0,0,0,25.816480454988778
2025-12-01,0,0,0,25.664010234177113
2026-01-01,0,0,0,25.324545115232468
2026-02-01,1,0,0,25.111323495861143
2026-03-01,9,0,1,25.30911239469424
2026-04-01,0,0,0,26.105737889185548
2026-05-01,0,0,0,27.53695545438677
2026-06-01,0,0,0,0.1817746926099062
2026-07-01,0,0,0,2.3462980133481324
2026-08-01,1,0,0,4.364563249517232
2026-09-01,0,0,0,5.950709150638431
2026-10-01,9,9,1,6.933882800862193
2026-11-01,1,0,0,7.294706764165312
2026-12-01,0,0,0,7.164260038174689
2027-01-01,0,0,0,6.79818811500445
2027-02-01,0,0,0,6.525183716323227
2027-03-01,1,0,0,6.662376197986305
2027-04-01,9,0,1,7.416882785502821
2027-05-01,0,0,0,8.822280963882804
2027-06-01,0,0,0,10.735072104725987
2027-07-01,0,0,0,12.881769966334105
2027-08-01,1,0,0,14.938521646894515
2027-09-01,0,0,0,16.619747675023973
2027-10-01,10,9,1,17.747254725079983
2027-11-01,0,0,0,18.281460479833186
2027-12-01,0,0,0,18.31797308009118
2028-01-01,0,0,0,18.066015543416142
2028-02-01,1,0,0,17.815289477817714
2028-03-01,5,0,1,17.875587505754083
2028-04-01,4,0,1,18.48333462839946
2028-05-01,0,0,0,19.717187301721424
2028-06-01,0,0,0,21.472566350828856
2028-07-01,0,0,0,23.501227631233633
2028-08-01,1,0,0,25.49303847970441
2028-09-01,9,9,1,27.167150207795203
2028-10-01,1,0,0,28.343689658679068
2028-11-01,0,0,0,28.977930834982544
2028-12-01,0,0,0,29.157000545877963
2029-01-01,0,0,0,28.977436465676874
2029-02-01,1,0,0,29.13555577583611
2029-03-01,0,0,0,29.74861760251224
2029-04-01,9,0,1,0.02575404243543744
2029-05-01,0,0,0,1.2269386136904359
2029-06-01,0,0,0,2.9122375384904444
2029-07-01,0,0,0,4.864290728699416
2029-08-01,1,0,0,6.793646703474224
2029-09-01,0,0,0,8.422684676479548
2029-10-01,9,9,1,9.565141091123223
2029-11-01,1,0,0,10.174172060098499
2029-12-01,0,0,0,10.348162876442075
2030-01-01,0,0,0,10.2980472529307
2030-02-01,0,0,0,10.285998905543238
2030-03-01,1,0,0,10.553872757591307
2030-04-01,9,0,1,11.262587890028954
2030-05-01,0,0,0,12.457114344462752
2030-06-01,0,0,0,14.058048770297319
2030-07-01,0,0,0,15.877371238544583
2030-08-01,1,0,0,17.6620827363804
2030-09-01,3,3,1,19.16394782019779
2030-10-01,7,6,1,20.2142785214819
2030-11-01,0,0,0,20.774815134704113
2030-12-01,0,0,0,20.948088091798127
